idt,market,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc,Avg,Open,High,Low,Close
2013-02-07,sp6m,6.0,-0.003162515,0.101097193,-1.121945588,2.196440644,-0.133458278,0.013368289,0.105116093,-20.0,0.048146326,20.0,0.003592376,1676.4390014648438,0.11615413972133427,0.11902855399880341,0.08654526601402576,0.084696527420276
2013-02-21,sp6m,6.0,-0.009873761,0.11242911,-1.038128404,1.783160467,-0.157649178,0.008258634,0.11111498,-20.0,0.065920429,20.0,0.007199089,1646.643330891927,0.09409805797347442,0.10545300538331889,0.07994947308246553,0.10676986060930059
2013-03-07,sp6m,6.0,-0.007605813,0.105004777,-1.098673465,2.081669793,-0.143297494,0.009019467,0.105231146,-20.0,0.05505435,20.0,0.004168516,1697.6369995117188,0.07037335703414795,0.11349563437946522,0.07037335703414795,0.09716516106560495
2013-03-21,sp6m,6.0,-0.006612224,0.107859791,-1.102439704,2.16210656,-0.145138408,0.010249693,0.109246848,-20.0,0.056901911,20.0,0.005708859,1692.3922390407986,0.10179347989125866,0.10179347989125866,0.0774975560114401,0.08948273588756217
2013-04-04,sp6m,6.0,-0.005958412,0.107058296,-1.083615185,2.067794779,-0.144257316,0.011100791,0.109246895,-20.0,0.055826154,20.0,0.005745708,1693.71201171875,0.07340033094586314,0.105440626032093,0.05396059626062976,0.11179499349844264
2013-04-18,sp6m,6.0,-0.005472816,0.115249694,-1.03932092,1.977262393,-0.154063602,0.011597555,0.119364568,-20.0,0.063720481,20.0,0.011191771,1756.1454634232955,0.11917094456734165,0.14109702704379612,0.11860651444818067,0.13698208569021125
2013-05-02,sp6m,6.0,-0.004295931,0.101176655,-1.021219634,2.003773275,-0.133812235,0.010151038,0.105914263,-20.0,0.0471721,20.0,0.00508504,1772.9530029296875,0.0987475551994058,0.11830104813161119,0.08894574811580117,0.11457379740318023
2013-05-16,sp6m,6.0,-0.010791934,0.110897548,-0.855945753,1.56490033,-0.15241415,0.002464293,0.113800279,-20.0,0.05980527,20.0,0.010901145,1797.7388916015625,0.08607078643199582,0.09422619919503263,0.07399588334850148,0.08722647541527503
2013-05-30,sp6m,6.0,-0.009545022,0.114667325,-0.89464203,1.568278186,-0.157132791,0.005078665,0.118444182,-20.0,0.063931729,20.0,0.011925863,1794.1877848307292,0.08797450562009769,0.09072181218697306,0.06882239931381862,0.07053618765362306
2013-06-13,sp6m,6.0,-0.008063764,0.124391984,-1.145849737,2.085135968,-0.17182228,0.013921174,0.123243096,-20.0,0.078509052,20.0,0.012410865,1809.4177652994792,0.08300362352818265,0.11883358747491496,0.07736904864602377,0.1180519112087728
2013-06-27,sp6m,6.0,-0.005913364,0.124430314,-1.175367262,2.260160312,-0.16781079,0.016263223,0.12529308,-20.0,0.075224985,20.0,0.012596244,1837.6819946289063,0.13315863110151627,0.1366631051327248,0.12266408992065894,0.12017706342448863
